Achham;707 ACHHAM 
Arghakhanchi;505 ARGHAKHANCHI 
Baglung;411 BAGLUNG 
Baitadi;704 BAITADI 
Bajhang;702 BAJHANG 
Bajura;701 BAJURA 
Banke;511 BANKE 
Bara;207 BARA 
Bardiya;512 BARDIYA 
Bhaktapur;307 BHAKTAPUR 
Bhojpur;106 BHOJPUR 
Chitwan;313 CHITAWAN 
Dadeldhura;705 DADELDHURA 
Dailekh;606 DAILEKH 
Dang;510 DANG 
Darchula;703 DARCHULA 
Dhading;304 DHADING 
Dhankuta;107 DHANKUTA 
Dhanusha;203 DHANUSA 
Dolakha;301 DOLAKHA 
Dolpa;601 DOLPA 
Doti;706 DOTI 
Gorkha;401 GORKHA 
Gulmi;504 GULMI 
Humla;603 HUMLA 
Ilam;110 ILAM 
Jajarkot;607 JAJARKOT 
Jhapa;111 JHAPA 
Jumla;604 JUMLA 
Kailali;708 KAILALI 
Kalikot;605 KALIKOT 
Kanchanpur;709 KANCHANPUR 
Kapilvastu;509 KAPILBASTU 
Kaski;405 KASKI 
Kathmandu;306 KATHMANDU 
Kavrepalanchok;309 KAVREPALANCHOK 
Khotang;105 KHOTANG 
Lalitpur;308 LALITPUR 
Lamjung;406 LAMJUNG 
Mahottari;204 MAHOTTARI 
Makwanpur;312 MAKWANPUR 
Manang;402 MANANG 
Morang;112 MORANG 
Mugu;602 MUGU 
Mustang;403 MUSTANG 
Myagdi;404 MYAGDI 
Nawalparasi East;408 NAWALPARASI EAST
Nawalparasi West;507 NAWALPARASI WEST
Nuwakot;305 NUWAKOT 
Okhaldhunga;104 OKHALDHUNGA 
Palpa;506 PALPA 
Panchthar;109 PANCHTHAR 
Parbat;410 PARBAT 
Parsa;208 PARSA 
Pyuthan;503 PYUTHAN 
Ramechhap;310 RAMECHHAP 
Rasuwa;303 RASUWA 
Rautahat;206 RAUTAHAT 
Rolpa;502 ROLPA 
Rukum East;501 RUKUM EAST
Rukum West;608 RUKUM WEST
Rupandehi;508 RUPANDEHI 
Salyan;609 SALYAN 
Sankhuwasabha;102 SANKHUWASABHA 
Saptari;201 SAPTARI 
Sarlahi;205 SARLAHI 
Sindhuli;311 SINDHULI 
Sindhupalchok;302 SINDHUPALCHOK 
Siraha;202 SIRAHA 
Solukhumbu;103 SOLUKHUMBU 
Sunsari;113 SUNSARI 
Surkhet;610 SURKHET 
Syangja;409 SYANGJA 
Tanahun;407 TANAHU 
Taplejung;101 TAPLEJUNG 
Terhathum;108 TERHATHUM 
Udayapur;114 UDAYAPUR 
